Order ID,Order Date,Customer Name,Product,Region,Salesperson,Quantity,Unit Price,Sales Amount
ORD-00061,2023-03-02,Robin Sloan,Laptop,Asia,Julie Bryant,6.0,597.29,3583.74
ORD-00062,2023-03-03,Robert Hoffman,Tablet,South America,Eric Cobb,11.0,517.9,5696.9
ORD-00063,2023-03-04,Steven Johnson,Laptop,South America,Cynthia Clark,11.0,144.48,1589.28
ORD-00064,2023-03-05,Anthony Gaines,Laptop,North America,Willie Lozano,8.0,933.2,7465.6
ORD-00065,2023-03-06,Chelsea Coffey,Laptop,Europe,Sabrina Estrada,17.0,117.33,1994.61
ORD-00066,2023-03-07,Jacob Martinez,Smartphone,Europe,Matthew Cuevas,18.0,932.57,16786.260000000002
ORD-00067,2023-03-08,Daniel Meadows,Tablet,South America,Jonathan Mitchell,16.0,381.24,6099.84
ORD-00068,2023-03-09,Bonnie Thomas,Laptop,Asia,Samuel Tucker,18.0,661.15,11900.699999999999
ORD-00069,2023-03-10,Yolanda Lopez,Smartphone,North America,David Marshall,1.0,988.88,988.88
ORD-00070,2023-03-11,Kyle Gallagher,Tablet,Europe,Rodney Bowman,18.0,805.29,14495.22
ORD-00071,2023-03-12,Makayla Richardson,Laptop,,Dennis Thomas,3.0,956.07,2868.21
ORD-00072,2023-03-13,Jessica Manning,,South America,Dr. Courtney Jensen,18.0,452.85,8151.3
ORD-00073,2023-03-14,William Elliott,Laptop,North America,Mrs. Julie Hernandez DDS,15.0,526.13,7891.95
ORD-00074,2023-03-15,Aaron Quinn Jr.,Laptop,Asia,Alexander Nguyen,1.0,796.49,796.49
ORD-00075,2023-03-16,Rebecca Gomez,Laptop,North America,Lisa Shea,12.0,85.42,1025.04
ORD-00076,2023-03-17,Jason Reed,Laptop,North America,Allison Garcia,7.0,791.71,5541.97
ORD-00077,2023-03-18,Darlene Lambert,Tablet,North America,Brent Jones,2.0,621.59,1243.18
ORD-00078,2023-03-19,Mary Johnson,Smartphone,Europe,Leslie Hopkins,15.0,775.77,11636.55
ORD-00079,2023-03-20,Erica Price,Laptop,Asia,Patricia Gray,11.0,263.01,2893.1099999999997
ORD-00080,2023-03-21,Patrick Little,Tablet,Asia,David Mueller,5.0,522.12,2610.6
ORD-00081,2023-03-22,Brian Booker,Smartphone,Asia,Dr. Denise Ford,,813.31,
ORD-00082,2023-03-23,Christine Saunders,Smartphone,Europe,Mary Ramos,12.0,689.79,8277.48
ORD-00083,2023-03-24,James Lin,Smartphone,Asia,Keith Garcia,17.0,566.13,9624.21
ORD-00084,2023-03-25,Lori Price,Tablet,South America,Alexandra Fleming,12.0,353.84,4246.08
ORD-00085,2023-03-26,Brian Shah,Laptop,South America,Karen Hernandez,8.0,482.42,3859.36
ORD-00086,2023-03-27,Jessica Martin,Laptop,Europe,Shannon Sanchez,8.0,279.15,2233.2
ORD-00087,2023-03-28,Stephanie Gardner,Laptop,South America,David Howell,,355.66,
ORD-00088,2023-03-29,Jessica Taylor,Smartphone,Asia,Eric York,15.0,,
ORD-00089,2023-03-30,Daniel Waller,Smartphone,Europe,Janet Ward,16.0,342.37,5477.92
ORD-00090,2023-03-31,Megan Miller,Laptop,,Andrew Wong,3.0,682.47,2047.41
ORD-00091,2023-04-01,Michael Martin,Laptop,South America,Richard Hernandez,2.0,186.54,373.08
ORD-00092,2023-04-02,Debra Jacobson,Tablet,North America,Elizabeth Ray,18.0,570.28,10265.039999999999
ORD-00093,2023-04-03,Andrew Martin,Smartphone,Europe,Katherine Carter,2.0,410.33,820.66
ORD-00094,2023-04-04,Christopher Davis,Laptop,South America,Michelle Thompson,2.0,241.43,482.86
ORD-00095,2023-04-05,Ivan Smith,Laptop,Asia,Wendy Hall,12.0,60.97,731.64
ORD-00096,2023-04-06,Michael Stewart,Smartphone,North America,Andrea Coleman,18.0,726.72,13080.960000000001
ORD-00097,2023-04-07,Caroline Torres,Tablet,South America,Sandra Colon,3.0,,
ORD-00098,2023-04-08,Lindsey Johnson,Tablet,North America,Catherine Davis,5.0,533.76,2668.8
ORD-00099,2023-04-09,Cody Weaver,Smartphone,North America,Annette Tyler,8.0,559.51,4476.08
ORD-00100,2023-04-10,Jennifer Huffman,,South America,Steven Brooks,19.0,366.16,6957.040000000001
ORD-00101,2023-04-11,Mr. Gary Griffin,Smartphone,Asia,Jenna Wright,13.0,686.51,8924.63
ORD-00102,2023-04-12,Tara Wright,Smartphone,Europe,Anthony Chapman,7.0,115.42,807.94
ORD-00103,2023-04-13,Tracy Vargas,Smartphone,North America,Scott Cuevas,11.0,325.07,3575.77
ORD-00104,2023-04-14,Anthony Barnes,Laptop,South America,Alexander Ritter,4.0,,
ORD-00105,2023-04-15,Stephanie Frost,Smartphone,North America,Michelle Leach,19.0,151.39,2876.41
ORD-00106,2023-04-16,Melissa Burke,,South America,Kevin Ramos,14.0,286.72,4014.0800000000004
ORD-00107,2023-04-17,Raymond Le,Tablet,North America,Scott Wolf,1.0,114.3,114.3
ORD-00108,2023-04-18,David Knight,Smartphone,Asia,Patrick Peterson,,72.15,
ORD-00109,2023-04-19,Ann Sullivan,Laptop,North America,Julie Mcgrath,,174.97,
ORD-00110,2023-04-20,Amanda Franklin,Laptop,North America,Kevin Higgins,17.0,985.02,16745.34
ORD-00111,2023-04-21,Dr. Jean Zhang,Laptop,South America,Richard Wiggins,6.0,832.97,4997.82
ORD-00112,2023-04-22,Jason Jordan,Smartphone,South America,Katherine Peterson,6.0,223.93,1343.58
ORD-00113,2023-04-23,Christopher Atkinson,Smartphone,South America,Elizabeth Harris,,548.97,
ORD-00114,2023-04-24,Kristen Harvey,Tablet,South America,Zachary Anderson,17.0,377.78,6422.259999999999
ORD-00115,2023-04-25,Michael Wagner,Tablet,North America,Christopher Thompson,2.0,83.6,167.2
ORD-00116,2023-04-26,Scott Ewing,Laptop,South America,James Cook,1.0,,
ORD-00117,2023-04-27,Jacob Black,Smartphone,Asia,Nicholas Davis,17.0,942.35,16019.95
ORD-00118,2023-04-28,Gordon Jackson,Tablet,North America,Christian Garcia,19.0,315.5,5994.5
ORD-00119,2023-04-29,Douglas Patel,Smartphone,South America,Jane Wright,18.0,423.64,7625.5199999999995
ORD-00120,2023-04-30,Marissa Garcia,Tablet,South America,Mason Vargas,19.0,379.71,7214.49
ORD-00121,2023-05-01,Jeanette Howard,Smartphone,North America,Laura Sanders,2.0,983.34,1966.68
ORD-00122,2023-05-02,Alexander Ward,Laptop,South America,Tracey Brown,15.0,379.92,5698.8
ORD-00123,2023-05-03,James West,,,David Sims,17.0,584.65,9939.05
ORD-00124,2023-05-04,Scott Hodge,Tablet,North America,James Lyons,11.0,535.15,5886.65
ORD-00125,2023-05-05,John Washington,Smartphone,North America,Kelsey Stark,19.0,490.02,9310.38
ORD-00126,2023-05-06,Keith Peterson,Laptop,Asia,Ashley Gentry,12.0,521.78,6261.36
ORD-00127,2023-05-07,Megan Phillips,Smartphone,North America,Bryan Walton,9.0,698.37,6285.33
ORD-00128,2023-05-08,Kathryn Smith,Laptop,Asia,Melanie Jones,19.0,677.04,12863.759999999998
ORD-00129,2023-05-09,Sydney Anderson,Smartphone,Asia,Cory Lopez,1.0,961.73,961.73
ORD-00130,2023-05-10,Spencer Brown,Smartphone,South America,David Hopkins,14.0,,
ORD-00131,2023-05-11,Megan Olson,Tablet,South America,Mark Mendoza,3.0,103.14,309.42
ORD-00132,2023-05-12,Steven Wright,Laptop,Europe,Tara Alvarez,5.0,,
ORD-00133,2023-05-13,Donald Hobbs,Tablet,North America,Nancy Evans,10.0,966.3,9663.0
ORD-00134,2023-05-14,Susan Jones,Laptop,Asia,Curtis Skinner,18.0,720.94,12976.920000000002
ORD-00135,2023-05-15,Jaime Andrews,Tablet,Europe,Jill Morton,7.0,503.09,3521.6299999999997
ORD-00136,2023-05-16,Barbara Wheeler,Laptop,South America,Christian Palmer,6.0,809.33,4855.9800000000005
ORD-00137,2023-05-17,Jerry Bullock,Laptop,North America,Charles Anderson,8.0,330.48,2643.84
ORD-00138,2023-05-18,Mr. Peter Schwartz,Laptop,Asia,Brandon Lee,3.0,320.52,961.56
ORD-00139,2023-05-19,George Ramos,Laptop,Asia,Gregory Garner,2.0,801.47,1602.94
ORD-00140,2023-05-20,Brett Johnson,Tablet,South America,Adam Burke,19.0,67.04,1273.7600000000002
ORD-00141,2023-05-21,Donald Moran,Laptop,North America,Kristen Sullivan,3.0,527.35,1582.0500000000002
ORD-00142,2023-05-22,Kayla West,Laptop,Asia,Amanda Lee,,442.66,
ORD-00143,2023-05-23,Sandy Green,Smartphone,North America,Carrie Alvarez,1.0,891.52,891.52
ORD-00144,2023-05-24,Ashley Hubbard,Laptop,Asia,Brian Miller,2.0,932.76,1865.52
ORD-00145,2023-05-25,Bailey Hodge,Laptop,Asia,Andrew Gonzalez,3.0,488.32,1464.96
ORD-00146,2023-05-26,Adam Moreno,Tablet,North America,Jessica Foster,11.0,895.87,9854.57
ORD-00147,2023-05-27,Kelsey Hurst,Laptop,South America,Danielle Banks,17.0,274.32,4663.44
ORD-00148,2023-05-28,Mrs. Donna Walton,Smartphone,Europe,Julie Hahn,10.0,561.89,5618.9
ORD-00149,2023-05-29,Gregory Brown,Laptop,Europe,Jennifer Russell,11.0,881.85,9700.35
ORD-00150,2023-05-30,Sheila Jones,Tablet,North America,Hector Roberson,15.0,620.56,9308.4
ORD-00151,2023-05-31,Allison Nunez,Tablet,Asia,Brittney Walls,10.0,521.42,5214.2
ORD-00152,2023-06-01,Courtney Hurley,Tablet,Asia,Monique Chambers,19.0,138.47,2630.93
ORD-00153,2023-06-02,Ronald Sanchez,Tablet,North America,Amanda Herring,12.0,69.21,830.52
ORD-00154,2023-06-03,Todd Smith,Laptop,North America,Abigail Young,6.0,357.85,2147.1000000000004
ORD-00155,2023-06-04,William Ortiz PhD,Tablet,Europe,Jessica Carter,5.0,667.54,3337.7
ORD-00156,2023-06-05,Kathryn Mcknight,Tablet,Asia,Nicole Phillips,17.0,511.18,8690.06
ORD-00157,2023-06-06,Jordan Nixon,Tablet,North America,Joseph Rodriguez,18.0,981.52,17667.36
ORD-00158,2023-06-07,Jessica Stewart,Tablet,Asia,Brandon Berg,1.0,969.91,969.91
ORD-00159,2023-06-08,Monica Fields,Laptop,North America,Reginald Graham,4.0,839.14,3356.56
ORD-00160,2023-06-09,Isaac Medina,Smartphone,,Bryan Potts,6.0,817.92,4907.5199999999995
ORD-00161,2023-06-10,Teresa Lara,Smartphone,Asia,Nicole Green,7.0,249.4,1745.8
ORD-00162,2023-06-11,Taylor Mccoy,Laptop,North America,Patricia Pittman DVM,8.0,954.53,7636.24
ORD-00163,2023-06-12,Deanna Rhodes,Tablet,Asia,Robert Gordon,4.0,652.31,2609.24
ORD-00164,2023-06-13,Adam Rose,Smartphone,North America,Patricia Garcia,7.0,156.68,1096.76
ORD-00165,2023-06-14,Erin Walker,Smartphone,South America,Jessica Morse,6.0,238.38,1430.28
ORD-00166,2023-06-15,Jenna Bishop,Tablet,Asia,Lisa Clark,3.0,811.9,2435.7
ORD-00167,2023-06-16,Michelle Sexton,Smartphone,Europe,Michael Forbes,17.0,230.72,3922.24
ORD-00168,2023-06-17,Patricia Washington,Smartphone,Asia,Jason Smith,2.0,143.6,287.2
ORD-00169,2023-06-18,Sarah Arroyo,Smartphone,Asia,Kendra Martinez,9.0,805.07,7245.63
ORD-00170,2023-06-19,Alexandria Rice,Smartphone,Asia,Donald Curry,16.0,439.02,7024.32
ORD-00171,2023-06-20,Jody Mendez,,South America,Beth Vincent,13.0,91.41,1188.33
ORD-00172,2023-06-21,Carlos Ramsey,Smartphone,Europe,Crystal Wright,,806.55,
ORD-00173,2023-06-22,Mr. James Rangel,,Europe,Frederick Watson,16.0,231.38,3702.08
ORD-00174,2023-06-23,Jill Gutierrez,Smartphone,Asia,Richard Spencer,3.0,458.17,1374.51
ORD-00175,2023-06-24,Breanna Rivers,Laptop,Asia,Brent Carr,11.0,104.57,1150.27
ORD-00176,2023-06-25,Kevin Phillips,Tablet,Asia,Megan Palmer,8.0,323.09,2584.72
ORD-00177,2023-06-26,Stephanie Byrd,Tablet,Asia,Jennifer Obrien,12.0,465.25,5583.0
ORD-00178,2023-06-27,Donald Allen,Tablet,Europe,Kristen Powers,8.0,288.79,2310.32
ORD-00179,2023-06-28,Susan Taylor,Laptop,South America,Heidi Green,10.0,432.03,4320.299999999999
ORD-00180,2023-06-29,Christine Bond,Smartphone,Asia,Hannah Butler,4.0,795.77,3183.08
ORD-00181,2023-06-30,Andrew Smith,Smartphone,Europe,Andrew Burke,14.0,687.24,9621.36
ORD-00182,2023-07-01,Leslie Leonard,Smartphone,Asia,Kenneth Brown,5.0,545.49,2727.45
ORD-00183,2023-07-02,Mrs. Patricia Anderson,Laptop,Europe,Heather Long,4.0,731.29,2925.16
ORD-00184,2023-07-03,Christopher Boyd,Smartphone,Asia,Gerald White,,738.38,
ORD-00185,2023-07-04,William Miller,Laptop,Europe,Drew Marshall,4.0,649.51,2598.04
ORD-00186,2023-07-05,Megan Larsen,Smartphone,South America,Valerie Allen,2.0,467.41,934.82
ORD-00187,2023-07-06,Alexandra Mckinney,Tablet,Asia,David Villa,14.0,320.67,4489.38
ORD-00188,2023-07-07,Ashley Simon,Tablet,North America,Teresa White,3.0,591.76,1775.28
ORD-00189,2023-07-08,David Sanchez,Smartphone,South America,Ricardo Gilbert,2.0,393.15,786.3
ORD-00190,2023-07-09,Jennifer Williams,Tablet,,Mr. Harry Walton,4.0,521.43,2085.72
ORD-00191,2023-07-10,Zachary Hester,Tablet,,Benjamin Bates,5.0,622.48,3112.4
ORD-00192,2023-07-11,Lauren Warren,Smartphone,Europe,Samuel Crawford,1.0,983.41,983.41
ORD-00193,2023-07-12,James Cook,Tablet,Europe,Lisa Fox,5.0,108.12,540.6
ORD-00194,2023-07-13,Diana White,Tablet,Europe,Karen Wells,15.0,771.27,11569.05
ORD-00195,2023-07-14,Curtis Swanson,Tablet,North America,Taylor Hodge,6.0,392.89,2357.34
ORD-00196,2023-07-15,Ricky Johnson,Tablet,Asia,Kerri Walsh,18.0,233.99,4211.82
ORD-00197,2023-07-16,Steven Mendoza,Tablet,South America,Albert Drake,10.0,,
ORD-00198,2023-07-17,Rebecca Flores,Laptop,South America,Sydney Moran,4.0,544.59,2178.36
ORD-00199,2023-07-18,Henry Graham,,South America,Robert Mcdonald,7.0,,
ORD-00200,2023-07-19,Amy Carrillo,,South America,Ashley Taylor,17.0,497.57,8458.69
ORD-00201,2023-07-20,Vincent Boone,Laptop,South America,Dustin Whitehead,7.0,530.72,3715.04
ORD-00202,2023-07-21,Dawn Tran,Tablet,Asia,Kristina Collins,16.0,857.57,13721.12
ORD-00203,2023-07-22,Richard Davis,Smartphone,Europe,Aaron Thompson,1.0,,
ORD-00204,2023-07-23,Sharon Olson,,Asia,Nicole Cook,15.0,,
ORD-00205,2023-07-24,Stephen Ritter,,North America,Erika Black,6.0,448.86,2693.16
ORD-00206,2023-07-25,Erika Miller,,South America,Dwayne Mason,12.0,,
ORD-00207,2023-07-26,Candice Sanders,,Europe,Joshua Fletcher,8.0,722.14,5777.12
ORD-00208,2023-07-27,Tami Walters,,South America,Richard Morrison,12.0,864.73,10376.76
ORD-00209,2023-07-28,Andrew Mccall,Laptop,Asia,Deborah Baker,15.0,415.6,6234.0
ORD-00210,2023-07-29,Melissa Lamb,Laptop,,Robert Payne,5.0,204.63,1023.15
ORD-00211,2023-07-30,Natasha Burgess,Smartphone,North America,Erica Peterson,2.0,789.7,1579.4
ORD-00212,2023-07-31,Nicole Pena,Laptop,Europe,Allison Marquez,15.0,97.4,1461.0
ORD-00213,2023-08-01,Eddie Murphy,Laptop,Asia,Alec Pierce,14.0,774.29,10840.06
ORD-00214,2023-08-02,Kathleen Harris,Smartphone,Europe,Kimberly Taylor,4.0,,
ORD-00215,2023-08-03,Edward Myers,Tablet,,Jeffrey Palmer,,877.67,
ORD-00216,2023-08-04,Samantha Morris,Smartphone,Asia,Jamie Patterson,,670.94,
ORD-00217,2023-08-05,Kyle Farley,Tablet,South America,Amy Evans,2.0,913.82,1827.64
ORD-00218,2023-08-06,Richard Morrison,Tablet,Asia,Laura Goodwin,4.0,356.95,1427.8
ORD-00219,2023-08-07,Douglas Gordon,Laptop,Asia,David Good,9.0,340.87,3067.83
ORD-00220,2023-08-08,Jordan Johns,Smartphone,,Debbie Castro,2.0,451.8,903.6
ORD-00221,2023-08-09,Sharon Cabrera,Smartphone,Asia,Kristina Morgan,16.0,500.83,8013.28
ORD-00222,2023-08-10,Tyler Perry,,Europe,Mallory Fletcher,4.0,272.68,1090.72
ORD-00223,2023-08-11,Christina Evans,Laptop,South America,Brian Savage,14.0,813.43,11388.019999999999
ORD-00224,2023-08-12,Gregory Hall,Laptop,North America,Jeffrey Fletcher,4.0,981.0,3924.0
ORD-00225,2023-08-13,Danielle Chen,Tablet,Asia,Joshua Moore,10.0,280.72,2807.2000000000003
ORD-00226,2023-08-14,Marcia Sanchez,Tablet,Asia,Derek Jones,18.0,785.63,14141.34
ORD-00227,2023-08-15,Dr. Jeffrey Hill,Laptop,Europe,Brian Parker,11.0,908.56,9994.16
ORD-00228,2023-08-16,Timothy Hale,Tablet,North America,Jonathon Williams,3.0,644.64,1933.92
ORD-00229,2023-08-17,Maria Brady,Tablet,Europe,Jessica Monroe,2.0,456.53,913.06
ORD-00230,2023-08-18,Keith Fitzgerald,Laptop,Europe,Kristin Moran,,845.14,
ORD-00231,2023-08-19,Jennifer Myers,Tablet,Asia,Alan Sullivan,3.0,553.98,1661.94
ORD-00232,2023-08-20,Rhonda Woodard,Laptop,South America,Jesse Benitez,7.0,854.62,5982.34
ORD-00233,2023-08-21,John Kirby,Tablet,Asia,Larry Mccoy,19.0,724.64,13768.16
ORD-00234,2023-08-22,Monica Miller,Tablet,Asia,Christine Gonzalez,11.0,160.19,1762.09
ORD-00235,2023-08-23,Richard White,Laptop,Europe,Zachary Turner,16.0,509.26,8148.16
ORD-00236,2023-08-24,Earl Daniel,Tablet,South America,Cynthia Rhodes,7.0,784.14,5488.98
ORD-00237,2023-08-25,Courtney Jackson,Laptop,Asia,Mary Allen,17.0,163.67,2782.39
ORD-00238,2023-08-26,Jon Smith,Laptop,Europe,Brittany King,14.0,969.45,13572.300000000001
ORD-00239,2023-08-27,David Johnson,Laptop,Asia,Darren Hughes,11.0,336.63,3702.93
ORD-00240,2023-08-28,Craig Montgomery,Smartphone,Europe,Mr. Jonathan Nunez,11.0,754.63,8300.93
ORD-00241,2023-08-29,Curtis Crawford,Laptop,South America,Rhonda Carter,14.0,84.46,1182.4399999999998
ORD-00242,2023-08-30,William Mitchell,Smartphone,Asia,Julian Ramirez,10.0,600.78,6007.799999999999
ORD-00243,2023-08-31,Shannon Jensen,,Asia,Austin Walker,5.0,302.47,1512.3500000000001
ORD-00244,2023-09-01,Carlos Wolf,Tablet,North America,Jacob Hubbard,,760.15,
ORD-00245,2023-09-02,Amber Page,Laptop,South America,Julie Morris,,207.38,
ORD-00246,2023-09-03,Amanda Thompson,Laptop,Europe,Holly Lewis,2.0,202.67,405.34
ORD-00247,2023-09-04,Erik Wood,Laptop,South America,William Powell,14.0,433.42,6067.88
ORD-00248,2023-09-05,Michael Johnson,Laptop,Asia,Laura Lopez,14.0,655.68,9179.519999999999
ORD-00249,2023-09-06,Stephanie Warner,Smartphone,Europe,Leah Dyer,13.0,820.48,10666.24
ORD-00250,2023-09-07,Shelley Suarez,Smartphone,South America,Catherine Hatfield,6.0,539.09,3234.54
ORD-00251,2023-09-08,Stephen Rojas,Tablet,Europe,Andrew Brewer,13.0,938.66,12202.58
ORD-00252,2023-09-09,Dawn Robles,Laptop,Europe,Jodi Walker,8.0,504.7,4037.6
ORD-00253,2023-09-10,Amy Skinner,Laptop,South America,Megan Reyes,1.0,752.66,752.66
ORD-00254,2023-09-11,Oscar King,Tablet,North America,Tyler Cobb,7.0,729.0,5103.0
ORD-00255,2023-09-12,Sean Dixon,Tablet,Asia,Linda Lee,5.0,240.53,1202.65
ORD-00256,2023-09-13,Michael Burns,Smartphone,North America,Victoria Green,3.0,599.64,1798.92
ORD-00257,2023-09-14,Allison Powell,Smartphone,,Natalie Walters,1.0,347.06,347.06
ORD-00258,2023-09-15,Dana Ortega,Tablet,Europe,William Wright,8.0,880.2,7041.6
ORD-00259,2023-09-16,Christopher Leblanc,Laptop,Asia,Dr. Garrett Guerrero,11.0,678.38,7462.18
ORD-00260,2023-09-17,Kerry Johnson,Smartphone,Asia,Karen Lopez,17.0,639.49,10871.33
ORD-00261,2023-09-18,Annette Bryan,Laptop,South America,Kevin Guzman,5.0,357.79,1788.95
ORD-00262,2023-09-19,Jacqueline Mcdonald,Tablet,Asia,Nancy Wood,,313.35,
ORD-00263,2023-09-20,Omar Bennett,Tablet,North America,Monica Armstrong DVM,1.0,971.58,971.58
ORD-00264,2023-09-21,Christopher Wilkins,Laptop,Asia,Jacob Sosa DDS,16.0,690.29,11044.64
ORD-00265,2023-09-22,Mark Dawson,Tablet,South America,Kristin Simon,19.0,954.63,18137.97
ORD-00266,2023-09-23,Daniel Schwartz,Laptop,South America,Donna Miller,18.0,541.44,9745.920000000002
ORD-00267,2023-09-24,Kevin Jones,Smartphone,South America,Charlotte Christensen DDS,4.0,393.04,1572.16
ORD-00268,2023-09-25,Dawn Jenkins,Tablet,Asia,Heidi Lawrence,10.0,149.07,1490.6999999999998
